ID,rating,date,user,reviewText,product_ID
48006c6c-b794-454a-9138-dec41ee4c42a,4.06,2016-02-13,Valentina Ortiz,"Podría ser mejor, algunos detalles no me convencen.",54244d10-5450-4fa3-b157-20f57943c812
0ff18951-7f77-4bd7-bfa2-6c12d65ae9ed,4.66,2023-03-12,Juan Rivera,"El material se siente de baja calidad.",54244d10-5450-4fa3-b157-20f57943c812
6e4f0001-c5ff-4f54-8a8e-fd221d798d41,4.15,2021-03-08,Diego Gonzalez,"Mala experiencia de compra, no lo recomiendo.",54244d10-5450-4fa3-b157-20f57943c812
147ca253-b8b7-4fd6-8d95-60b6013a05bf,2.79,2018-06-10,Miguel Reyes,"Excelente producto, muy recomendado.",54244d10-5450-4fa3-b157-20f57943c812
b980a174-5ab5-4c60-8916-986932a33772,3.19,2017-11-22,Maria Ortiz,"Mala experiencia de compra, no lo recomiendo.",54244d10-5450-4fa3-b157-20f57943c812
8d1e06d5-16f9-4d41-ae96-19bff4bfc952,3.03,2020-01-28,Carlos Romero,"Es aceptable por el precio.",54244d10-5450-4fa3-b157-20f57943c812
2f01bf03-7501-460d-8aa5-17b3d01fb5a6,2.5,2021-08-11,Valentina Silva,"Es aceptable por el precio.",54244d10-5450-4fa3-b157-20f57943c812
91a94fb5-8e67-4c12-92f4-5445a4ccf08c,1.06,2016-10-23,Isabella Acosta,"Dejó de funcionar después de poco tiempo.",54244d10-5450-4fa3-b157-20f57943c812
36230b5b-adf3-4c40-9ed1-20b3c45e914d,2.3,2021-02-11,Paula Torres,"Mala experiencia de compra, no lo recomiendo.",54244d10-5450-4fa3-b157-20f57943c812
5f001692-b80a-4af0-8c5a-aa86478a7575,2.61,2020-09-13,Diego Romero,"Ni bueno ni malo, simplemente funcional.",54244d10-5450-4fa3-b157-20f57943c812
ff1191ea-52fb-498f-ab18-8358a9c56dea,1.3,2020-01-17,Laura Garcia,"No cumple con lo prometido.",54244d10-5450-4fa3-b157-20f57943c812
af60b727-b163-4584-b359-882d74120278,1.02,2019-01-26,Gabriel Gomez,"El servicio al cliente fue útil.",54244d10-5450-4fa3-b157-20f57943c812
23eed703-2a56-4444-8ffd-c6aec504a84b,1.74,2017-05-12,Santiago Diaz,"Ni bueno ni malo, simplemente funcional.",54244d10-5450-4fa3-b157-20f57943c812
80867fbb-2ad8-4c12-80aa-73cf148851f1,4.83,2019-08-07,Isabella Silva,"Ni bueno ni malo, simplemente funcional.",54244d10-5450-4fa3-b157-20f57943c812
00a11f50-76fe-4eb4-a42e-8f3144972e80,4.97,2020-11-28,Jose Reyes,"Funciona como se esperaba.",54244d10-5450-4fa3-b157-20f57943c812
36a039e7-fec2-46de-8ba2-2d5fdbf3f374,4.02,2018-02-05,Javier Vargas,"Buena calidad y precio justo.",54244d10-5450-4fa3-b157-20f57943c812
6793ff06-f543-4be0-8c62-52454ea69430,2.75,2018-05-04,Mateo Sanchez,"Es aceptable por el precio.",54244d10-5450-4fa3-b157-20f57943c812
acf53316-d509-4bbc-b5b4-f0de59a21a36,3.92,2021-10-02,Sofia Diaz,"El servicio al cliente fue útil.",54244d10-5450-4fa3-b157-20f57943c812
626a61b7-1ac5-4652-865b-6fc5999d4bb8,1.83,2021-04-29,Jose Ramirez,"El material se siente de baja calidad.",54244d10-5450-4fa3-b157-20f57943c812
1caa725b-1c61-4217-aa43-e582fc8d601e,3.36,2018-01-14,Laura Medina,"Funciona como se esperaba.",54244d10-5450-4fa3-b157-20f57943c812
dc75b2d7-57a9-4dc6-979e-3641d8ec6a3b,2.52,2024-12-19,Diego Diaz,"El material se siente de baja calidad.",54244d10-5450-4fa3-b157-20f57943c812
a3024a84-83e7-4758-a488-a8b547231d7e,1.41,2018-06-30,Juan Castro,"Dejó de funcionar después de poco tiempo.",54244d10-5450-4fa3-b157-20f57943c812
0270602b-12b6-4977-9175-1f5e10221aa2,3.22,2018-12-17,Javier Garcia,"Superó mis expectativas.",54244d10-5450-4fa3-b157-20f57943c812
01e71da2-ab93-44a2-98ca-744031f86ed9,1.27,2017-10-10,Javier Morales,"Es aceptable por el precio.",54244d10-5450-4fa3-b157-20f57943c812
f0ddc11b-f639-4ec8-b244-d53213ea7b6f,4.0,2025-01-22,Juan Garcia,"El producto cumple con lo descrito.",54244d10-5450-4fa3-b157-20f57943c812
727bbdd2-5d7f-43ba-b329-23642b6c425d,4.75,2018-08-26,Laura Perez,"No me gustó, mala calidad.",54244d10-5450-4fa3-b157-20f57943c812
